raceid,HasGateTrigger (3/3),uuid,Updated At,HUMAN_TRIGGER
2000122100101,19.84,T001D0C0,2025-11-30 23:57:19.744412+00:00,
2000122100102,19.84,T001D0C0,2025-11-28 06:12:12.021568+00:00,
2025031100102,25.84,T001D0C0,2025-11-30 07:37:00.835237+00:00,
2025031100103,49.84,T001D0C0,2025-11-30 05:50:17.290113+00:00,
2025031100104,37.84,T001D0C0,2025-11-30 11:15:56.245911+00:00,
2025031100105,171.64,T001D0C0,2025-11-30 14:13:27.590236+00:00,
2025031100107,105.24,T001D0C0,2025-11-30 20:10:40.164395+00:00,
2025031100108,16.24,T001D0C0,2025-11-30 15:54:17.026695+00:00,
2025031101704,34.24,T017D0C0,2025-11-30 20:54:46.557352+00:00,
2025031101710,59.44,T017D0C0,2025-11-30 14:22:20.269927+00:00,
2025031101711,58.64,T017D0C0,2025-11-30 06:40:47.792060+00:00,
2025031102001,234.64,T020D0C0,2025-11-30 23:42:06.789870+00:00,
2025031107601,5.24,T076D0C0,2025-11-30 21:04:52.951591+00:00,
2025031200705,39.24,T007D0C0,2025-11-30 12:13:03.303425+00:00,
2025031200708,43.84,T007D0C0,2025-11-30 06:26:27.877130+00:00,
2025031201902,20.24,T019D0C0,2025-11-30 07:36:07.361647+00:00,
2025031201904,57.24,T019D0C0,2025-11-30 13:15:58.775122+00:00,
2025031201905,82.64,T019D0C0,2025-11-30 09:57:11.155481+00:00,
2025031201907,41.24,T019D0C0,2025-11-30 22:19:39.760394+00:00,
2025031202004,19.44,T020D0C0,2025-11-30 06:07:48.676597+00:00,
2025031202005,35.64,T020D0C0,2025-11-30 07:03:35.811393+00:00,
2025031202006,22.64,T020D0C0,2025-11-30 08:07:21.539991+00:00,
2025031202007,52.84,T020D0C0,2025-11-30 08:26:07.152634+00:00,
2025031202009,58.84,T020D0C0,2025-11-30 12:35:26.965231+00:00,
2025031202010,52.84,T020D0C0,2025-11-30 19:08:53.337048+00:00,
2025031202011,60.64,T020D0C0,2025-11-30 08:57:44.836739+00:00,
2025031202012,50.24,T020D0C0,2025-11-30 11:17:32.029232+00:00,
2025031204501,32.44,T045D0C0,2025-11-29 14:52:40.426453+00:00,
2025031207602,120.44,T076D0C0,2025-11-30 11:11:01.929902+00:00,
2025031207604,58.84,T076D0C0,2025-11-30 17:42:24.864269+00:00,
2025031207605,125.84,T076D0C0,2025-11-30 22:13:36.628155+00:00,
2025031207607,129.24,T076D0C0,2025-11-30 22:26:35.596033+00:00,
2025031207612,193.64,T076D0C0,2025-11-30 23:17:34.939963+00:00,
2025031301701,46.84,T017D0C0,2025-11-30 17:42:25.009136+00:00,
2025031301704,58.84,T017D0C0,2025-11-30 16:09:24.869721+00:00,
2025031301706,220.04,T017D0C0,2025-11-30 22:48:52.190284+00:00,
2025031301708,222.84,T017D0C0,2025-11-30 18:55:57.819373+00:00,
2025031301709,89.04,T017D0C0,2025-11-30 17:47:40.867254+00:00,
2025031301710,131.04,T017D0C0,2025-11-30 13:17:42.617763+00:00,
2025031301712,73.84,T017D0C0,2025-11-30 06:17:43.324066+00:00,
2025031302001,25.84,T020D0C0,2025-11-30 14:45:19.390334+00:00,
2025031304503,40.84,T045D0C0,2025-11-29 16:39:43.707396+00:00,
2025031304504,182.04,T045D0C0,2025-11-29 15:30:15.878696+00:00,
2025031304506,18.04,T045D0C0,2025-11-29 15:17:26.165358+00:00,
2025031304507,211.24,T045D0C0,2025-11-29 16:26:31.517304+00:00,
2025031304508,33.04,T045D0C0,2025-11-29 14:27:15.999530+00:00,
2025031304509,220.04,T045D0C0,2025-11-29 15:30:31.219813+00:00,
2025031304510,220.04,T045D0C0,2025-11-29 15:24:14.107767+00:00,
2025031304511,30.84,T045D0C0,2025-11-29 16:13:52.109133+00:00,
2025031304512,245.84,T045D0C0,2025-11-29 16:45:55.140297+00:00,
2025031305402,175.84,T054D0C0,2025-11-30 06:35:46.753555+00:00,
2025031305403,157.84,T054D0C0,2025-11-30 05:36:56.005730+00:00,
2025031305405,143.04,T054D0C0,2025-11-30 06:39:28.588503+00:00,
2025031305406,208.84,T054D0C0,2025-11-30 10:41:54.004433+00:00,
2025031305407,217.04,T054D0C0,2025-11-30 07:53:06.100532+00:00,
2025031305408,175.84,T054D0C0,2025-11-30 05:26:13.840957+00:00,
2025031305410,210.44,T054D0C0,2025-11-30 08:24:12.310316+00:00,
2025031400105,157.84,T001D0C0,2025-12-01 00:21:37.731598+00:00,
2025031400106,123.84,T001D0C0,2025-11-30 12:58:52.462893+00:00,
2025031400110,109.64,T001D0C0,2025-11-30 06:30:16.914691+00:00,
2025031400303,4.44,T003D0C0,2025-11-30 23:54:05.464234+00:00,
2025031400305,20.84,T003D0C0,2025-11-30 04:50:53.407637+00:00,
2025031400306,24.04,T003D0C0,2025-11-30 15:52:50.502737+00:00,
2025031400308,34.84,T003D0C0,2025-11-30 18:18:13.293487+00:00,
2025031400309,20.44,T003D0C0,2025-11-30 15:53:47.703290+00:00,
2025031400312,23.84,T003D0C0,2025-11-30 10:50:09.827984+00:00,
2025031402002,4.64,T020D0C0,2025-11-30 10:14:45.245755+00:00,
2025031402004,11.64,T020D0C0,2025-11-30 23:22:39.503126+00:00,
